"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 370",6072064.686,3527296.307,"Quercus rubra, Amerikanische Roteiche","Straßen","Parkplatz Friesische Lücke"
" 260",6072053.349,3527323.882,"Quercus rubra, Amerikanische Roteiche","Straßen","Parkplatz Friesische Lücke"
" 10",6069687.31906,3524851.13546,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 20",6069695.26288,3524841.67049,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 30",6069703.2067,3524832.62805,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 50",6069733.96787,3524765.86616,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 55",6069743.76063,3524754.59441,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 60",6069751.88372,3524743.9784,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 70",6069762.84169,3524729.79971,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 80",6069781.18008,3524705.12317,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 100",6069794.70148,3524683.31992,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 110",6069803.57489,3524667.00973,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 120",6069808.89894,3524657.0377,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 130",6069818.53294,3524637.43168,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 140",6069822.58936,3524628.05121,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 150",6069830.27965,3524610.81143,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 160",6069841.60382,3524587.14899,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 180",6069855.80393,3524561.3527,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 190",6069862.90002,3524549.88064,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 200",6069873.29459,3524533.993,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 210",6069889.60478,3524511.51368,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 220",6069899.06975,3524499.51344,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 230",6069905.74594,3524491.4006,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 240",6069917.23913,3524478.30175,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 250",6069933.21128,3524461.3155,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 260",6069945.38053,3524449.7378,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 270",6069953.32435,3524442.89259,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 280",6069967.26829,3524431.90646,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 290",6069977.40934,3524423.6246,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 300",6069995.66323,3524410.0187,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 320",6070023.29758,3524392.01834,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 330",6070041.65006,3524381.25052,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 340",6070050.69249,3524376.77156,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 350",6070060.41099,3524371.70104,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 360",6070071.05909,3524366.546,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 370",6070090.66512,3524357.16554,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 380",6070102.58085,3524350.91189,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 390",6070119.98965,3524342.54553,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 400",6070130.80676,3524337.39049,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 410",6070146.52538,3524329.53118,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 420",6070164.52574,3524320.57326,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 430",6070175.59639,3524315.50273,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 440",6070193.68125,3524306.62932,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 450",6070202.28876,3524303.19735,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 460",6070223.76636,3524297.24885,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 470",6070242.94984,3524297.50238,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 480",6070261.45725,3524301.6433,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 490",6070269.57009,3524305.10816,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 500",6070282.49992,3524314.06609,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 510",6070292.13392,3524322.60147,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 520",6070304.04965,3524332.91153,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 530",6070320.86688,3524347.86958,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 540",6070330.16284,3524356.32045,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 140",6070339.91851,3524368.44669,"Acer platanoides, Spitz-Ahorn","Straßen","Jägerweg"
" 580",6070343.39409,3524358.20398,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 590",6070306.41589,3524324.20713,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 600",6070290.86629,3524310.68574,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 610",6070279.45761,3524301.22076,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 620",6070261.11922,3524292.9389,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 630",6070251.14719,3524290.65717,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 640",6070235.17504,3524289.0515,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 650",6070209.48438,3524291.9248,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 660",6070194.01929,3524297.33336,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 670",6070183.54021,3524302.23486,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 680",6070166.38494,3524310.85475,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 690",6070152.27198,3524317.69996,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 700",6070138.32804,3524324.54517,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 710",6070108.24293,3524339.24969,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 720",6070093.79194,3524346.34842,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 730",6070085.08754,3524350.40484,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 740",6070074.69297,3524355.39085,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 750",6070061.08706,3524362.48958,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 760",6070051.53758,3524366.79953,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 770",6070033.62173,3524376.26451,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 780",6070025.83284,3524380.86319,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 790",6070007.66347,3524392.10285,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 800",6069997.18438,3524398.94806,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 810",6069986.45178,3524406.63835,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 820",6069978.25443,3524412.63847,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 830",6069965.49361,3524422.86403,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 840",6069956.53569,3524429.87825,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 850",6069943.60585,3524440.52635,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 860",6069934.22538,3524448.89271,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 870",6069925.26746,3524457.42809,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 880",6069915.12641,3524468.58325,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 890",6069906.50652,3524478.13273,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 900",6069895.43588,3524491.23158,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 910",6069888.33715,3524499.34442,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 920",6069878.61864,3524512.61229,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 930",6069873.97066,3524518.95045,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 950",6069859.68869,3524540.07763,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 960",6069851.00278,3524553.41416,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 970",6069845.57573,3524562.89498,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 980",6069837.96995,3524576.75441,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 990",6069832.98393,3524586.81095,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1000",6069818.95548,3524615.45941,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1010",6069813.20889,3524628.47375,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1030",6069803.74391,3524649.00937,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1040",6069794.36344,3524667.09424,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1050",6069786.92668,3524680.36211,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1060",6069777.29268,3524695.82721,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1070",6069769.43337,3524706.98236,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1080",6069760.89799,3524718.47555,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1090",6069750.92596,3524731.99694,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1100",6069741.48915,3524743.55586,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1110",6069733.12279,3524753.86592,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1120",6069722.72821,3524766.62674,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1130",6069714.36185,3524777.02131,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1140",6069704.98138,3524788.09196,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1150",6069696.61502,3524798.82456,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1170",6069692.5586,3524832.29002,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1180",6069685.29085,3524841.16343,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 1190",6069676.92449,3524850.5439,"Acer platanoides, Spitz-Ahorn","Straßen","Gartenstadtallee"
" 10",6070195.71725,3524324.78505,"Malus tschonoskii, Zierapfel","Straßen","Zitronenfalter-Hof"
" 20",6070205.11047,3524344.41365,"Malus tschonoskii, Zierapfel","Straßen","Zitronenfalter-Hof"
" 30",6070210.22816,3524355.49117,"Malus tschonoskii, Zierapfel","Straßen","Zitronenfalter-Hof"
" 40",6070228.20485,3524386.73714,"Gleditsia triacanthos 'Inermis', Dornenlose Gleditsie","Straßen","Zitronenfalter-Hof"
" 50",6070237.61967,3524382.41842,"Gleditsia triacanthos 'Inermis', Dornenlose Gleditsie","Straßen","Zitronenfalter-Hof"
" 70",6070249.46786,3524385.9064,"Malus tschonoskii, Zierapfel","Straßen","Zitronenfalter-Hof"
" 90",6070273.81057,3524403.32104,"Malus tschonoskii, Zierapfel","Straßen","Zitronenfalter-Hof"
" 20",6070128.86999,3524382.44621,"Malus tschonoskii, Zierapfel","Straßen","Kleiner Fuchs-Hof"
" 30",6070137.19023,3524398.7561,"Malus tschonoskii, Zierapfel","Straßen","Kleiner Fuchs-Hof"
" 40",6070151.43383,3524420.31894,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Kleiner Fuchs-Hof"
" 50",6070153.19706,3524426.71065,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Kleiner Fuchs-Hof"
" 10",6069878.46445,3524555.08346,"Crataegus x prunifolia, Pflaumenblättriger Weißdorn","Straßen","Schwärmer-Hof"
" 20",6069882.20486,3524557.66775,"Crataegus x prunifolia, Pflaumenblättriger Weißdorn","Straßen","Schwärmer-Hof"
" 30",6069900.21716,3524571.11511,"Crataegus x prunifolia, Pflaumenblättriger Weißdorn","Straßen","Schwärmer-Hof"
" 40",6069918.9289,3524590.58337,"Crataegus x prunifolia, Pflaumenblättriger Weißdorn","Straßen","Schwärmer-Hof"
" 50",6069929.94611,3524598.88028,"Crataegus x prunifolia, Pflaumenblättriger Weißdorn","Straßen","Schwärmer-Hof"
" 60",6069934.3666,3524590.71938,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Schwärmer-Hof"
" 70",6069931.30626,3524585.21078,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Schwärmer-Hof"
" 80",6069936.33882,3524585.14277,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Schwärmer-Hof"
" 90",6069942.86753,3524580.92631,"Malus tschonoskii, Zierapfel","Straßen","Schwärmer-Hof"
" 100",6069935.45472,3524575.48571,"Malus tschonoskii, Zierapfel","Straßen","Schwärmer-Hof"
" 10",6070116.54605,3524310.64868,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 20",6070113.23704,3524314.17117,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 30",6070083.456,3524285.24406,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 40",6070086.765,3524281.40135,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 50",6070061.78735,3524257.27763,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 60",6070059.75925,3524261.97428,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 70",6070040.54567,3524243.29442,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 80",6070045.24233,3524241.15958,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 90",6070019.304,3524215.54147,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 100",6070015.46128,3524219.1707,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 110",6070004.89381,3524170.60305,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 120",6070011.1916,3524170.28282,"Quercus robur, Stiel-Eiche","Straßen","Rapsbogen"
" 130",6070015.35454,3524165.05246,"Quercus petraea, Trauben-Eiche","Straßen","Rapsbogen"
" 140",6070023.89391,3524155.97938,"Quercus petraea, Trauben-Eiche","Straßen","Rapsbogen"
" 150",6070033.82092,3524146.58608,"Quercus petraea, Trauben-Eiche","Straßen","Rapsbogen"
" 160",6070053.56821,3524131.74893,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 170",6070086.97849,3524143.91753,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 180",6070085.4841,3524149.6816,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 200",6070121.02921,3524184.1593,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 210",6070128.6079,3524191.73799,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 220",6070149.74284,3524212.44595,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 230",6070152.41139,3524208.28301,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 240",6070160.41705,3524223.2269,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 250",6070171.30474,3524233.15392,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 270",6070184.54076,3524246.60342,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 280",6070195.74868,3524257.06415,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 290",6070200.12511,3524254.60908,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Rapsbogen"
" 300",6070211.86674,3524272.86198,"Sorbus x thuringiaca, Thüringische Mehlbeere","Straßen","Rapsbogen"
" 10",6069715.89146,3524828.5998,"Tilia cordata, Winter-Linde","Straßen","Schmetterlingsweg"
" 20",6069744.47374,3524851.93358,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 30",6069757.94064,3524860.38941,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 40",6069770.31956,3524870.04202,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 50",6069774.15113,3524873.28412,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 60",6069790.50144,3524887.43432,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 70",6069807.17712,3524900.79382,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 80",6069817.59942,3524910.64763,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 90",6069836.35957,3524925.90209,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 100",6069850.47705,3524938.40885,"Tilia cordata 'Greenspire', Sorte der Winter-Linde","Straßen","Schmetterlingsweg"
" 30",6069690.93133,3524690.17785,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Roggenbogen"
" 40",6069674.79171,3524676.94865,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Roggenbogen"
" 50",6069653.625,3524659.7507,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Roggenbogen"
" 80",6069691.72508,3524603.12976,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Roggenbogen"
" 90",6069706.27719,3524613.71311,"Sorbus intermedia, Schwedische Mehlbeere","Straßen","Roggenbogen"
" 60",6069643.30623,3524621.91521,"Quercus robur, Stiel-Eiche","Straßen","Roggenbogen"
" 70",6069657.85834,3524604.18809,"Quercus robur, Stiel-Eiche","Straßen","Roggenbogen"
" 100",6069731.67724,3524620.32771,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 110",6069736.43975,3524623.50271,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 120",6069740.67309,3524626.67772,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 130",6069746.29885,3524630.02076,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 140",6069751.10008,3524633.4678,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 150",6069754.73178,3524635.7453,"Robinia pseudoacacia, Gemeine Robinie","Straßen","Roggenbogen"
" 40",6069600.92385,3524752.22199,"Quercus robur, Stiel-Eiche","Straßen","Getreideweg"
" 50",6069597.47056,3524752.91264,"Quercus robur, Stiel-Eiche","Straßen","Getreideweg"
" 60",6069592.51039,3524749.14542,"Quercus robur, Stiel-Eiche","Straßen","Getreideweg"
" 31",6069716.30599,3524815.92165,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 33",6069722.76449,3524807.41364,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 38",6069728.4593,3524799.60294,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 43",6069737.94013,3524786.91997,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 42",6069733.67062,3524783.90619,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 41",6069732.10094,3524787.42226,"Betula papyrifera, Papier-Birke","Straßen","Gartenstadtallee"
" 39",6069728.90665,3524790.16919,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 40",6069725.09234,3524787.53214,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 36",6069720.17141,3524791.00112,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 37",6069725.25716,3524795.33342,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 35",6069716.52977,3524797.71933,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 34",6069721.30158,3524801.80048,"Betula pendula, Sand-Birke","Straßen","Gartenstadtallee"
" 10",6076607.68,3530722.05,"Acer pseudoplatanus, Berg-Ahorn","Straßen","Twedter Lücke"
" 20",6076629.33,3530713.57,"Fraxinus excelsior, Gemeine Esche","Straßen","Twedter Lücke"
" 30",6076645.25,3530708.81,"Tilia  species, Linde","Straßen","Twedter Lücke"
" 40",6076660.77,3530704.59,"Fraxinus excelsior, Gemeine Esche","Straßen","Twedter Lücke"
" 110",6072014.35,3526763.49,"Acer pseudoplatanus, Berg-Ahorn","Straßen","B 199/ Abfahrt B 200"
" 120",6072021.35,3526763.06,"Acer pseudoplatanus, Berg-Ahorn","Straßen","B 199/ Abfahrt B 200"
" 90",6075243.57254,3529769.18416,"Fagus sylvatica, Rotbuche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 100",6075241.85194,3529778.95509,"Fagus sylvatica, Rotbuche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 110",6075240.24924,3529792.19213,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 120",6075235.77205,3529823.1574,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 130",6075235.63822,3529827.84721,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 140",6075236.23507,3529837.24649,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 150",6075228.96408,3529889.05405,"Alnus glutinosa, Schwarz-Erle","Extensiv und Ausgleichflächen","EX Rostocker Straße Fußweg"
" 20",6072816.28462,3528388.60682,"Sorbus aria, Mehlbeere","Grünflächen","Süderfischerstr."
" 40",6073217.92,3528066.02,"Tilia cordata, Winter-Linde","Straßen","Speicherlinie"
" 40",6074044.23044,3529980.43865,"Carpinus betulus, Gemeine Hainbuche","Kinder- und Jugendförderung","KSP Hesttoft"
" 50",6074042.9747,3529985.46161,"Carpinus betulus, Gemeine Hainbuche","Kinder- und Jugendförderung","KSP Hesttoft"
" 60",6074038.95633,3529984.45702,"Carpinus betulus, Gemeine Hainbuche","Kinder- und Jugendförderung","KSP Hesttoft"
" 70",6074022.29685,3529962.02114,"Quercus robur, Stiel-Eiche","Kinder- und Jugendförderung","KSP Hesttoft"
" 80",6074037.11458,3529964.86748,"Fagus sylvatica, Rotbuche","Kinder- und Jugendförderung","KSP Hesttoft"
" 90",6074042.9747,3529965.20234,"Fagus sylvatica, Rotbuche","Kinder- und Jugendförderung","KSP Hesttoft"
" 100",6074061.84336,3529966.93247,"Quercus robur, Stiel-Eiche","Kinder- und Jugendförderung","KSP Hesttoft"
" 30",6074065.20595,3529985.29418,"Quercus robur, Stiel-Eiche","Kinder- und Jugendförderung","KSP Hesttoft"
" 10",6073881.03,3529807.91,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 20",6073896.59,3529821.29,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 30",6073911.49,3529835.43,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 40",6073926.33,3529849.78,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 50",6073941.57,3529864.02,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 60",6073956.61,3529877.68387,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 70",6073972.04,3529891.18,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 80",6073987.08,3529904.78,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 90",6074002.37,3529918.16,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 100",6074015.02,3529929.24137,"Acer campestre, Feld-Ahorn","Extensiv und Ausgleichflächen","WW Alt Fruerlundhof"
" 10",6073586.67709,3531364.68542,"Juglans regia, Walnuß","Straßen","Vogelsanger Stieg"
" 10",6074792.26543,3531706.57413,"Acer platanoides, Spitz-Ahorn","Kinder- und Jugendförderung","KSP Marie-Rasch-Str."
" 20",6074784.15913,3531716.27884,"Quercus robur, Stiel-Eiche","Kinder- und Jugendförderung","KSP Marie-Rasch-Str."
" 30",6074805.67866,3531733.9968,"Fraxinus excelsior, Gemeine Esche","Kinder- und Jugendförderung","KSP Marie-Rasch-Str."
" 40",6074823.54763,3531734.33035,"Acer platanoides, Spitz-Ahorn","Kinder- und Jugendförderung","KSP Marie-Rasch-Str."
" 10",6074777.41056,3531697.78147,"Quercus robur, Stiel-Eiche","Grünflächen","Kauslund Osterfeld Grünzug"
" 20",6074781.58078,3531684.60359,"Acer campestre, Feld-Ahorn","Grünflächen","Kauslund Osterfeld Grünzug"
" 30",6074763.23182,3531668.84017,"Acer platanoides, Spitz-Ahorn","Grünflächen","Kauslund Osterfeld Grünzug"
" 50",6074762.23097,3531653.41036,"Acer campestre, Feld-Ahorn","Grünflächen","Kauslund Osterfeld Grünzug"
" 60",6074757.47692,3531641.73375,"Acer campestre, Feld-Ahorn","Grünflächen","Kauslund Osterfeld Grünzug"
" 80",6074861.18176,3531532.45416,"Tilia x vulgaris 'Pallida', Kaiserlinde","Straßen","Kauslunder Straße / Am Kreisel"
" 70",6074877.15103,3531546.72698,"Tilia x vulgaris 'Pallida', Kaiserlinde","Straßen","Kauslunder Straße / Am Kreisel"
