"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 4350",6073585.24521,3531506.78129,"Quercus robur, Stiel-Eiche","Grünflächen","Trögelsbyhof SBG"
" 4390",6073581.69979,3531464.87121,"Fagus sylvatica, Rotbuche","Grünflächen","Trögelsbyhof SBG"
" 160",6073540.16088,3531424.42108,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 180",6073539.2157,3531368.2028,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 200",6073537.89278,3531332.21939,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 210",6073537.89278,3531316.87353,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 220",6073537.6282,3531313.69852,"Fraxinus  species, Esche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 10",6073093.82,3528333.44,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Straßen","Am Margarethenhof"
" 20",6073108.34,3528361.61,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Straßen","Am Margarethenhof"
" 30",6073161.73,3528371.8,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Straßen","Am Margarethenhof"
" 40",6073159.769,3528342.524,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Straßen","Am Margarethenhof"
" 10",6071862.12098,3526217.08837,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 20",6071864.3038,3526211.99514,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 30",6071855.77097,3526208.68784,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 40",6071847.70116,3526229.23939,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 60",6071847.59533,3526205.00351,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 70",6071860.29535,3526197.27766,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 80",6071857.96701,3526203.52184,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 90",6071849.81783,3526200.02933,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 110",6071839.65781,3526201.72267,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 120",6071837.54114,3526206.16768,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 140",6071842.19782,3526196.43099,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 150",6071848.97116,3526179.60346,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 170",6071841.77448,3526171.87761,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 190",6071834.04863,3526192.40931,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 200",6071831.29696,3526198.44183,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 210",6071828.75696,3526203.83934,"Fagus sylvatica, Rotbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 215",6071826.45508,3526209.58081,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 230",6071822.88319,3526194.36724,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 240",6071825.52903,3526188.14951,"Carpinus betulus 'Fastigiata', Säulenhainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 250",6071831.87904,3526171.61302,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 260",6071834.65718,3526165.26301,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 310",6071803.43628,3526218.44437,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 320",6071809.78629,3526222.01625,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 330",6071819.4436,3526226.51417,"Betula pubescens, Moor-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 350",6071839.68427,3526234.98086,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
