Straße,Baumnummer,Gattung/Art,Hochwert,Rechtswert
Lornsendamm / Schwalbenstraße,B 20,Baumgruppe/flächiger Bestand,"6074392,12044479","3526547,67254644"
Lornsendamm / Schwalbenstraße,B 30,Baumgruppe/flächiger Bestand,"6074359,84121357","3526589,47679672"
Lornsendamm / Schwalbenstraße,B 50,Baumgruppe/flächiger Bestand,"6074300,7067203","3526551,77359631"
Meierwik Alter Weg 15,B 10,Baumgruppe/flächiger Bestand,"6077343,41732999","3532454,45087531"
Meierwik Alter Weg 15,B 30,Baumgruppe/flächiger Bestand,"6077430,33312882","3532460,00713643"
Munketoft südlich Nr. 150,B 10,Baumgruppe/flächiger Bestand,"6071672,18978436","3528789,57702871"
Nikolaiallee - Eckener Schule,B 10,Baumgruppe/flächiger Bestand,"6071836,87408365","3527083,16478286"
Nikolaiallee - Eckener Schule,B 320,Baumgruppe/flächiger Bestand,"6071766,65786215","3526873,64938221"
Osbek hinter Nr.67-73,B 10,Baumgruppe/flächiger Bestand,"6075424,54246509","3530325,86599795"
Osbek hinter Nr.70,B 40,Baumgruppe/flächiger Bestand,"6075528,48404511","3530186,54730444"
Osbek hinter Nr.70,B 50,Baumgruppe/flächiger Bestand,"6075562,61536338","3530219,88487111"
Osbek hinter Nr.70,B 60,Baumgruppe/flächiger Bestand,"6075537,7444803","3530248,45992826"
Osbek hinter Nr.70,B 70,Baumgruppe/flächiger Bestand,"6075480,32978214","3530252,69327006"
Richard-Wagner-Str. / Trögelsbyer Weg,B 10,Baumgruppe/flächiger Bestand,"6073364,37935118","3530156,6717487"
Richard-Wagner-Str. / Trögelsbyer Weg,B 20,Baumgruppe/flächiger Bestand,"6073339,19096747","3530146,51172839"
Richard-Wagner-Str. / Trögelsbyer Weg,B 30,Baumgruppe/flächiger Bestand,"6073326,49094207","3530138,25671187"
Richard-Wagner-Str. / Trögelsbyer Weg,B 40,Baumgruppe/flächiger Bestand,"6073326,91427625","3530117,30166996"
Richard-Wagner-Str. / Trögelsbyer Weg,B 50,Baumgruppe/flächiger Bestand,"6073283,31085571","3530116,03166742"
Richard-Wagner-Str. / Trögelsbyer Weg,B 60,Baumgruppe/flächiger Bestand,"6073231,02908448","3530119,41834086"
Schottweg hinter Nr.14,B 10,Baumgruppe/flächiger Bestand,"6075027,16069452","3530528,04775797"
Sigurdstraße / BLS,B 10,Baumgruppe/flächiger Bestand,"6075532,66871091","3526295,78338304"
Solitüde / Fördestraße,B 10,Baumgruppe/flächiger Bestand,"6076648,23311338","3531449,637359"
Solitüde / Fördestraße,B 40,Baumgruppe/flächiger Bestand,"6076727,18493795","3531624,89770952"
Solitüde / Fördestraße,B 60,Baumgruppe/flächiger Bestand,"6076663,47314386","3531600,34432708"
Taubenstraße,B 20,Baumgruppe/flächiger Bestand,"6074622,66663004","3526661,97666181"
Taubenstraße,B 60,Baumgruppe/flächiger Bestand,"6074581,1798804","3526740,5051522"
Taubenstraße,B 70,Baumgruppe/flächiger Bestand,"6074633,88498581","3526714,68176722"
Thomas-Lorck-Weg Nord und Süd,B 10,Baumgruppe/flächiger Bestand,"6071884,38828484","3525940,27929292"
Thomas-Lorck-Weg Nord und Süd,B 30,Baumgruppe/flächiger Bestand,"6071824,53941514","3525982,03062642"
Trögelsbyhof 1-3,B 10,Baumgruppe/flächiger Bestand,"6073455,7422523","3531194,03445267"
Trögelsbyhof 1-3,B 20,Baumgruppe/flächiger Bestand,"6073464,63227008","3531156,09312679"
Trögelsbyhof 1-3,B 30,Baumgruppe/flächiger Bestand,"6073499,55733993","3531141,32934726"
Zur Exe - Eckener Schule,B 20,Baumgruppe/flächiger Bestand,"6071992,20387693","3526793,01533957"
Zur Exe - Eckener Schule,B 30,Baumgruppe/flächiger Bestand,"6072010,46016344","3526774,28280211"
Zur Exe 1,B 10,Baumgruppe/flächiger Bestand,"6072343,80211254","3527794,26173564"
Zur Exe 1,B 20,Baumgruppe/flächiger Bestand,"6072378,85947433","3527919,27761067"
Zur Exe 1,B 30,Baumgruppe/flächiger Bestand,"6072351,40889859","3527879,92076113"
Zur Exe 1,B 50,Baumgruppe/flächiger Bestand,"6072342,80992306","3527835,27223433"
KSP Fruerlundhof,192,"Crataegus monogyna, Eingriffliger Weißdorn","6074081,41130464","3529740,68417671"
