Abelia chinensis,Chinesische Abelie
Cornus sericea,Seidiger Hartriegel
Coronilla valentina ssp. glauca,Blaue Kronwicke
Corylopsis pauciflora,Armblütige Scheinhasel
Corylopsis spicata,Ährige Scheinhasel
Corylopsis veitchiana,Veitchs Scheinhasel
Corylus avellana 'Contorta',Korkenzieher-Hasel
Corylus avellana,Gemeine Hasel
Corylus colurna,Baum-Hasel
Corylus maxima,Lamberts-Hasel
Corylus spec.,Haselnussarten
Corymbia dallachiana,Ghost Tree
Cotinus coggygria,Gewöhnlicher Perückenstrauch
Cotoneaster bullatus,Runzelige Zwergmispel
Cotoneaster dammeri,Teppich-Zwergmispel
Cotoneaster dielsianus,Diels Zwergmispel
Cotoneaster divaricatus,Sparrige Zwergmispel
Cotoneaster floccosus,Flockige Zwergmispel
Cotoneaster frigidus,Himalaya-Baummispel
Cotoneaster horizontalis,Fächer-Zwergmispel
Cotoneaster integerrimus,Gewöhnliche Zwergmispel
Cotoneaster multiflorus,Vielblütige Zwergmispel
Cotoneaster x suecicus,Schwedische Zwergmispel
Crataegus cf. crus-galli,Möglicherweise Hahnenfuß-Weißdorn
Crataegus cf. x lavallei,Möglicherweise Lavalle-Weißdorn
Crataegus coccinea,Scharlachdorn
Crataegus crus-galli,Hahnenfuß-Weißdorn
Crataegus crus-galli,Hahnensporn-Weißdorn
Crataegus laevigata 'Paul Scarlet',Echter Rotdorn 'Pauls Scarlet'
Crataegus laevigata 'Paul's Scarlet',Pauls Scarlet-Weißdorn
Crataegus laevigata 'Paul's Scarlet',Rotdorn
Crataegus laevigata,Zweigriffeliger Weißdorn
Crataegus laevigata,Zweigriffeliger Weißdorn
Crataegus lavallei 'Carrierei',Carrierei-Lavalle-Weißdorn
Crataegus lavallei 'Carrierei',Lederblättriger Weißdorn 'Carrierei'
Crataegus monogyna,Eingriffeliger Weißdorn
Crataegus monogyna,Eingriffeliger Weißdorn
Crataegus nigra,Schwarzfrüchtiger Weißdorn
Crataegus oxyacantha aggr.,Gemeiner Weißdorn (Artengruppe)
Crataegus oxyacantha 'Paul's Scarlet',Pauls Scarlet-Gemeiner Weißdorn
Crataegus pedicellata,Scharlach-Weißdorn
Crataegus pinnatifida,Fiederblatt-Weißdorn
Crataegus species,Weißdorn-Art
Crataegus succulenta var. macrantha,Saft-Weißdorn
Crataegus x lavallei 'Carrierei',Lederblättriger Weißdorn
Crataegus x lavallei,Lavalle-Weißdorn
Crataegus x persimilis,Pflaumenblättriger Weißdorn
Crataegus x prunifolia,Pflaumenblättriger Weißdorn
Crataemespilus grandiflora,Großblütige Weißdorn-Mispel
Cryptomeria japonica 'Compacta',Sicheltanne 'Compacta'
Cryptomeria japonica f. cristata,Hahnenkamm-Sicheltanne
Cryptomeria japonica,Sicheltanne
Cunninghamia lanceolata,Chinesische Spießtanne
Cupressocyparis leylandii,Leylandzypresse
Cupressus arizonica,Arizona-Zypresse
Cupressus glabra,Glatte Arizona-Zypresse
Cupressus sempervirens,Italienische Zypresse
Cycas revoluta,Japanischer Sagopalmfarn
Cydonia oblonga,Echte Quitte
Cydonia oblonga,Quitte
Cytisus scoparius,Besen-Ginster
Danae racemosa,Alexandrinischer Lorbeer
Daphne gnidium,Mittelmeer-Seidelbast
Daphne laureola,Lorbeer-Seidelbast
Daphne mezereum,Gewöhnlicher Seidelbast
Dasiphora fruticosa,Fingerstrauch
Davidia involucrata,Taschentuchbaum
Davidia involucrata var. Vilmoriniana,Taschentuchbaum
Davidia involukrata,Taschentuchbaum
Decaisnea fargesii,Chinesische Blaugurke
Delonix regia,Flammenbaum
Deutzia gracilis,Zierliche Deutzie
Deutzia longifolia,Langblättrige Deutzie
Deutzia scabra,Raublättrige Deutzie
Deutzia x hybrida,Rosen-Deutzie
Diospyros kaki,Kakipflaume
Diospyros lotus,Lotuspflaume
Diospyros virginiana,Amerikanische Persimone
Dipelta floribunda,Vielblütiges Doppelschild
Distylium racemosum,Isu-Baum
Dracaena draco,Drachenbaum
Duranta erecta,Taubenbeere
Edgeworthia chrysantha,Japanischer Papierbusch
Ehretia dicksonii,Dicksons Ehretia
Elaeagnus angustifolia,Schmalblättrige Ölweide
Elaeagnus pungens,Dornige Ölweide
Elaeagnus umbellata,Schirm-Ölweide
Elaeagnus x ebbingei,Wintergrüne Ölweide
Eleutherococcus sieboldianus,Siebolds Fingeraralie
Enkianthus campanulatus,Prachtglocke
Enkianthus perulatus,Frühblühende Prachtglocke
Erica arborea,Baum-Heide
Erica carnea,Schnee-Heide
Erica cinerea,Grau-Heide
Erica tetralix,Glocken-Heide
Eriobotrya japonica,Japanische Wollmispel
Eriolobus trilobatus,Dreilappige Elsbeere
Erythrina crista-galli,Korallenbaum
Eucalyptus globulus,Gewöhnlicher Eukalyptus
Eucommia ulmoides,Guttaperchabaum
Euonymus alatus,Flügel-Spindelstrauch
Euonymus europaeus,Europäisches Pfaffenhütchen
Euonymus europaeus,Gemeines Pfaffenhütchen
Euonymus fortunei,Kletternder Spindelstrauch
Euonymus japonicus,Japanisches Pfaffenhütchen
Euonymus macropterus,Ussuri-Spindelstrauch
Euonymus planipes,Großfrüchtiges Pfaffenhütchen
Euphorbia pulcherrima,Weihnachtsstern
Exochorda giraldii,Dahurische Radspiere
Fagus crenata,Kerb-Buche
Fagus engleriana,Englers Buche
Fagus grandifolia,Amerikanische Buche
Fagus orientalis,Orientalische Buche
Fagus orientalis,Orient-Buche
Fagus spec.,Buche-Arten
Fagus species,Buchenart
Fagus sylvatica 'Asplenifolia',Farnblättrige Buche
Fagus sylvatica 'Asplenifolia',Farnblättrige Rotbuche
Fagus sylvatica 'Atropunicea',Blutbuche 'Atropunicea'
Fagus sylvatica 'Atropunicea',Dunkelrote Rotbuche
Fagus sylvatica 'Atropunicea Pendula',Hängende Dunkelrote Rotbuche
Fagus sylvatica 'Dawyck',Dawyck-Rotbuche
Fagus sylvatica 'Felderbach',Felderbach-Buche
Fagus sylvatica f. grandidentata,Grobgezähnte Buche
Fagus sylvatica f. laciniata,Schlitzblättrige Buche
Fagus sylvatica f. luteo-variegata,Gelbbunte Buche
Fagus sylvatica f. purpurea tricolor,Buntblättrige Buche
Fagus sylvatica f. quercifolia,Eichenblättrige Buche
Fagus sylvatica,Gemeine Buche
Fagus sylvatica-Gruppe,Rotbuchen
