Abelia chinensis,Chinesische Abelie
Rhododendron hirsutum,Behaarte Alpenrose
Rhododendron tomentosum,Sumpf-Porst
Rhodotypos scandens,Scheinkerrie
Rhus typhina,Essig-Baum
Ribes aureum,Gold-Johannisbeere
Ribes petraeum,Felsen-Johannisbeere
Ribes rubrum,Rote Johannisbeere
Ribes sanguineum,Blut-Johannisbeere
Ribes uva-crispa var. sativum,Kultur-Stachelbeere
Ricinus communis,Wunderbaum
Robinia hispida,Borstige Robinie
Robinia luxurians,Üppige Robinie
Robinia pseudoacacia 'Bessoniana',Besson-Robinie
Robinia pseudoacacia 'Frisia',Frisia-Robinie
Robinia pseudoacacia 'Frisia',Gold-Robinie
Robinia pseudoacacia 'Monophylla',Monophylla-Robinie
Robinia pseudoacacia 'Pyramidalis',Pyramiden-Robinie
Robinia pseudoacacia 'Pyramidalis',Säulen-Akazie / Säulen-Robinie
Robinia pseudoacacia,Robinie
Robinia pseudoacacia,Robinie
Robinia pseudoacacia 'Semperflorens',Immerblühende Robinie
Robinia pseudoacacia 'Umbraculifera',Kugel-Robinie
Robinia pseudoacacia 'Umbraculifera',Kugel-Robinie 'Umbraculifera'
Robinia pseudoacacia 'Unifoliola',Einblättrige Robinie
Robinia pseudoacacia 'Unifoliola',Unifoliola-Robinie
Robinia species,Robinienart
Robinia spec.,Robinien-Arten
Robinia x margaretta 'Casque Rouge',Robinia x margaretta
Rosa banksiae,Banks Rose
Rosa canina,Hunds-Rose
Rosa gallica,Essig-Rose
Rosa glauca,Rotblatt-Rose
Rosa multiflora,Vielblütige Rose
Rosa rugosa,Kartoffel-Rose
Rosa sericea ssp. omeiensis f. pteracantha,Stacheldraht-Rose
Rosa spinosissima,Bibernell-Rose
Rosa tomentosa,Filz-Rose
Rosmarinus officinalis,Rosmarin
Rubia peregrina,Kletten-Krapp
Rubus fruticosus,Brombeere
Rubus idaeus,Himbeere
Rubus odoratus,Wohlriechende Himbeere
Rubus spectabilis,Lachs-Himbeere
Ruscus aculeatus,Stacheliger Mäusedorn
Ruta graveolens,Wein-Raute
Salix alba 'Chermesina',Silber-Weide 'Chermesina'
Salix alba 'Kopfbaum',Silber-Weide 'Kopfbaum'
Salix alba,Silber-Weide
Salix alba,Silber-Weide
Salix alba 'Tristis',Trauer-Silber-Weide
Salix alba 'Tristis',Trauer-Weide
Salix appendiculata,Großblättrige Weide
Salix aurita,Ohr-Weide
Salix babylonica,Babylonische Trauer-Weide
Salix caprea 'Kilmarnock',Hängekätzchen-Weide
Salix caprea,Sal-Weide
Salix caprea,Sal-Weide
Salix cinerea,Grau-Weide
Salix fragilis,Bruch-Weide
Salix fragilis,Bruch-Weide
Salix integra 'Hakuro Nishiki',Harlekin-Weide
Salix irrorata,Amerikanische Reif-Weide
Salix matsudana 'Tortuosa',Korkenzieher-Weide
Salix matsudana 'Tortuosa',Korkenzieher-Weide
Salix myrsinifolia,Schwarz-Weide
Salix purpurea,Purpur-Weide
Salix retusa,Stumpfblättrige Weide
Salix species,Weidenart
Salix spec.,Weiden-Arten
Salix udensis f. sekka,Drachen-Weide
Salix viminalis,Korb-Weide
Salix viminalis,Korb-Weide
Salvia greggii,Herbst-Salbei
Salvia officinalis,Echter Salbei
Samanea saman,Rain Tree
Sambucus nigra f. porphyrophylla,Schwarzpurpurner schlitzblättriger Holunder
Sambucus nigra,Schwarzer Holunder
Sambucus nigra,Schwarzer Holunder
Sambucus nigra ssp. caerulea,Blauer Holunder
Sambucus racemosa,Trauben-Holunder
Santolina chamaecyparissus,Graues Heiligenkraut
Sarcococca hookeriana var. humilis,Himalaja-Fleischbeere
Sassafras albidum,Fenchelholzbaum
Satureja montana,Berg-Bohnenkraut
Schefflera actinophylla,Queensland Strahlenaralie
Schinus molle,Pfefferbaum
Sciadopitys verticillata,Schirmtanne
Senna didymobotrya,Kerzenstrauch
Senna x floribunda,Gewürzstrauch
Sequoiadendron giganteum,Riesen-Mammutbaum
Sequoia sempervirens,Küsten-Mammutbaum
Shepherdia argentea,Silber-Büffelbeere
Sinocalycanthus chinensis,Chinesischer Gewürzstrauch
Skimmia japonica,Japanische Skimmie
Smilax aspera,Raue Stechwinde
Solanum dulcamara,Bittersüßer Nachtschatten
Solanum jasminoides,Jasminblütiger Nachtschatten
Sophora japonica,Japanischer Schnurbaum
Sophora japonica,Japanischer Schnurbaum
Sophora japonica 'Regent',Regent-Japanischer Schnurbaum
Sophora spec.,Schnurbaum-Arten
Sorbaria sorbifolia,Sibirische Fiederspiere
Sorbua aria 'Majestica',Weißer Ebereschen-Hybrid 'Majestica'
Sorbus alnifolia,Erlenblättrige Mehlbeere
Sorbus americana,Amerikanische Eberesche
Sorbus aria,Eberesche
Sorbus aria,Echte Mehlbeere
Sorbus aria 'Lutescens',Gelbliche Eberesche
Sorbus aria 'Magnifica',Großlaubige Mehlbeere 'Magnifica'
Sorbus aria 'Magnifica',Prächtige Eberesche
Sorbus aucuparia cf. 'Edulis',Essbare Vogelbeere
Sorbus aucuparia,Eberesche
Sorbus aucuparia 'Edulis',Essbare Vogelbeere
Sorbus aucuparia 'Fastigata',Säulen-Vogelbeere
Sorbus aucuparia 'Fastigiata',Säulen-Vogelbeere / Eberesche
Sorbus aucuparia ssp. moravica,Mährische Eberesche
Sorbus aucuparia var. edulis,Essbare Eberesche
Sorbus aucuparia,Vogelbeere
Sorbus chamaemespilus,Zwerg-Eberesche
Sorbus commixta 'Dodong',Dodong-Mischt-Vogelbeere
Sorbus commixta 'Dodong',Mehlbeere 'Dodong'
Sorbus domestica,Speierling
Sorbus incana,Grau-Eberesche
Sorbus intermedia 'Brouwers',Brouwers-Mittlere Eberesche
Sorbus intermedia 'Brouwers',Schwedische Mehlbeere 'Brouwers'
Sorbus intermedia,Mittlere Eberesche
Sorbus intermedia,Schwedische Mehlbeere
Sorbus latifolia 'Henk Vink',Henk Vink-Breitblättrige Eberesche
Sorbus species,Ebereschenart
Sorbus spec.,Mehlbeere-Arten
Sorbus thuringiaca 'Fastigiata',Thüringische Mehlbeere
Sorbus torminalis,Elsbeere
Sorbus x thuringiaca 'Fastigiata',Säulen-Thüringische Eberesche
Sorbus x thuringiaca,Thüringische Eberesche
Sorbus x torminalis,Elsbeere
Sparmannia africana,Zimmerlinde
Spartium junceum,Pfriemenginster
Spathodea campanulata,Afrikanischer Tulpenbaum
species_latin,Lateinische Arten
Spiraea japonica,Japanischer Spierstrauch
Spiraea thunbergii,Thunbergs Spierstrauch
Spiraea x billardii,Billards Spierstrauch
Spiraea x vanhouttei,Pracht-Spierstrauch
Stachyurus praecox,Japanischer Perlschweif
Staphylea colchica,Kolchische Pimpernuss
Staphylea holocarpa,Chinesische Pimpernuss
Staphylea pinnata,Pimpernuss
Stephanandra incisa,Kleine Kranzspiere
Stewartia pseudocamellia,Scheinkamelie
Stewartia pseudocamellia,Scheinkamelienbaum
Styphnolobium japonicum,Japanischer Schnurbaum
Styrax japonica,Japanischer Storaxbaum
Styrax japonicus,Japanischer Storaxbaum
Styrax obassia,Obassia-Storaxbaum
Styrax officinalis,Echter Storaxbaum
Symphoricarpos albus,Gemeine Schneebeere
Symphoricarpos x chenaultii,Chenault-Schneebeere
Syringa meyeri,Zwerg-Flieder
Syringa reflexa,Bogen-Flieder
Syringa vulgaris,Gewöhnlicher Flieder
Taiwania cryptomerioides,Taiwanie
Tamarix africana,Afrikanische Tamariske
Tamarix aphylla,Blattlose Tamariske
Tamarix parviflora,Frühlings-Tamariske
Taxodium distichum,Sumpfzypresse
Taxodium distichum,Sumpfzypresse
Taxus baccata 'Dovastoniana',Dovaston's Eibe
Taxus baccata 'Fastigiata',Säulen-Eibe
Taxus baccata,Gemeine Eibe
Taxus baccata,Gemeine Eibe
Tecoma capensis,Kapgeißblatt
Tecoma stans,Gelbe Trompetenblume
Terminalia catappa,Seemandel
Tetradium daniellii,Samthaarige Stinkesche
Tetrapanax papyrifer,Reispapierbaum
Thuja occidentalis,Abendländischer Lebensbaum
Thuja occidentalis,Abendländischer Lebensbaum
Thuja plicata,Riesen-Lebensbaum
Thuja plicata,Riesen-Lebensbaum
Thujopsis dolabrata,Axtblättriger Lebensbaum
Thujopsis dolabrata,Hiba-Lebensbaum
Thymelaea hirsuta,Behaarte Spatzenzunge
Thymus vulgaris,Echter Thymian
Tilia americana,Amerikanische Linde
Tilia americana,Amerikanische Linde
Tilia cf. cordata,Möglicherweise Winter-Linde
Tilia cf. platyphyllos,Möglicherweise Sommer-Linde
Tilia cf. tomentosa,Möglicherweise Silber-Linde
Tilia cf. x euchlora,Möglicherweise Krim-Linde
Tilia cf. x flaccida,Möglicherweise West-Linde
Tilia cf. x vulgaris,Möglicherweise Kaiser-Linde
Tilia cordata 'Erecta',Dichtkronige Winter-Linde
Tilia cordata 'Greenspire',Greenspire-Winter-Linde
Tilia cordata 'Greenspire',Winter-Linde 'Greenspire'
Tilia cordata 'Rancho',Kleinkronige Winter-Linde
Tilia cordata 'Rancho',Rancho-Winter-Linde
Tilia cordata,Winter-Linde
Tilia cordata,Winter-Linde
Tilia cordata Winter Orange,Winter Orange-Winter-Linde
Tilia dasystyla,Kaukasische Linde
Tilia europaea 'Pallida',Blassblättrige Europäische Linde
Tilia henryana,Henry-Linde
Tilia henryana,Henrys Linde
Tilia intermedia,Bastard-Linde
Tilia mongolica,Mongolische Linde
Tilia petiolaris,Birnblättrige Linde
Tilia petiolaris,Hänge-Silber-Linde
Tilia platyphyllos 'Örebro',Örebro-Sommer-Linde
Tilia platyphyllos,Sommer-Linde
Tilia platyphyllos,Sommer-Linde
Tilia platyphyllus Rubra,Rote Sommer-Linde
Tilia species,Lindenart
Tilia spec.,Linden-Arten
Tilia tomentosa 'Brabant',Brabant-Silber-Linde
Tilia tomentosa 'Brabant',Silberlinde 'Brabant'
Tilia tomentosa f. petiolaris,Hänge-Silber-Linde
Tilia tomentosa,Silber-Linde
Tilia tomentosa,Silber-Linde
Tilia tomentosa 'Szeleste',Szeleste-Silber-Linde
Tilia x euchlora,Krim-Linde
Tilia x euchlora,Krim-Linde
Tilia x europaea,Holländische Linde
Tilia x vulgaris 'Europaea',Holländische Linde
Tilia x vulgaris,Kaiser-Linde
Tilia x vulgaris 'Pallida',Blassblättrige Kaiser-Linde
Tilia x vulgaris 'Pallida',Kaiser-Linde
Tipuana tipu,Tipubaum
Toona sinensis,Surenbaum
Torreya californica,Kalifornische Nusseibe
Trachelospermum jasminoides,Chinesischer Sternjasmin
Trachycarpus fortunei,Chinesische Hanfpalme
Trochodendron aralioides,Radbaum
Tsuga canadensis,Kanadische Hemlock
Tsuga canadensis,Kanadische Hemlocktanne
Tsuga caroliniana,Karolina-Hemlocktanne
Tsuga diversifolia,Japanische Hemlocktanne
Tsuga heterophylla,Westliche Hemlockstanne
Ulex europaeus,Stechginster
Ulmus americana,Amerikanische Ulme
Ulmus carpinifolia,Ahornblättrige Ulme
Ulmus cf. carpinifolia,Möglicherweise Ahornblättrige Ulme
Ulmus 'Columella',Säulenulme
Ulmus 'Dodoens',Dodoens Ulme
Ulmus glabra,Bergulme
Ulmus glabra,Berg-Ulme
Ulmus glabra 'Exoniensis',Exon-Ulme
Ulmus glabra 'Pendula',Hänge-Ulme
Ulmus hollandica 'Columella',Columella-Ulme
Ulmus hollandica 'Vegeta',Holländische Ulme 'Vegeta'
Ulmus laevis,Flatter-Ulme
Ulmus 'Lobel',Schmalkronige Stadtulme
Ulmus minor,Feldulme
Ulmus minor,Feld-Ulme
Ulmus minor 'Jacqueline Hillier',Ulme 'Jacqueline Hillier'
Ulmus minor 'Wredei',Gold-Ulme
Ulmus parvifolia,Chinesische Ulme
Ulmus procera,Bergulme
Ulmus pumila,Sibirische Ulme
Ulmus 'Rebella',Ulmen-Hybrid 'Rebella'
Ulmus 'Regal',Ulme 'Regal'
Ulmus resista 'New Horizon',New Horizon-Ulme
Ulmus resista 'Sapporo Gold',Sapporo Gold-Ulme
Ulmus rubra,Rote Ulme
Ulmus species,Ulmenart
Ulmus spec.,Ulmen-Arten
Ulmus x hollandica 'Dodoens',Dodoens-Ulme
Ulmus x hollandica,Holländische Ulme
Ulmus x hollandica 'Hybriden',Hybriden-Ulme
Ulmus x hollandica 'Vegeta',Vegeta-Ulme
Ulmus x 'Resista',Resista-Ulme
Vaccinium corymbosum,Amerikanische Heidelbeere
Vaccinium myrtillus,Blaubeere
Vaccinium uliginosum,Rauschbeere
Vaccinium vitis-idaea,Preißelbeere
Vachellia xanthophloea,Gelbrinden-Akazie
Viburnum carlesii,Koreanischer Schneeball
Viburnum davidii,Davids Schneeball
Viburnum farreri,Duftender Schneeball
Viburnum lantana,Wolliger Schneeball
Viburnum lantanoides,Erlenblättriger Schneeball
Viburnum lentago,Kanadischer Schneeball
Viburnum opulus f. roseum,Gefüllter Gewöhnlicher Schneeball
Viburnum opulus,Gemeiner Schneeball
Viburnum plicatum f. sterile,Gefüllter Japanischer Schneeball
Viburnum plicatum,Japanischer Schneeball
Viburnum rhytidophyllum,Runzelblättriger Schneeball
Viburnum tinus,Lorbeerblättriger Schneeball
Viburnum x bodnantense,Bodnant-Schneeball
Viburnum x burkwoodii,Oster-Schneeball
Viburnum x carlcephalum,Großblumiger Duft-Schneeball
Viscum album,Mistel
Vitex agnus-castus,Mönchspfeffer
Vitis coignetiae,Rostrote Weinrebe
Vitis vinifera,Echte Weinrebe
Washingtonia filifera,Kalifornische Palme
Washingtonia robusta,Mexikanische Fächerpalme
Weigela florida,Liebliche Weigelie
Wisteria floribunda,Japanischer Blauregen
Wisteria sinensis,Chinesischer Blauregen
Wollemia nobilis,Wollemie
Xanthoceras sorbifolium,Gelbhorn
Xanthocyparis nootkatensis,Nootka-Scheinzypresse
Yucca gloriosa,Kerzen-Palmlilie
Zanthoxylum simulans,Täuschendes Gelbholz
Zelkova carpinifolia,Kaukasische Zelkove
Zelkova serrata 'Green Vase',Green Vase-Zelkove
Zelkova serrata,Japanische Zelkove
Ziziphus jujuba,Chinesische Dattel
