id,species_id,district_id,object_id,hochwert,rechtswert,topology,tree_type,tree_species,trunk_diameter,crown_diameter,total_height,felling_year,plant_year,geom 
 17695,,,17694,3530156.67175,6073364.379350001,37.72,,Baumgruppe/flächiger Bestand,,,,2023,,9.467732,54.788668
 17696,,,17695,3530146.51173,6073339.190969999,38.0,,Baumgruppe/flächiger Bestand,,,,2023,,9.467572,54.788442
 17697,,,17696,3530138.25671,6073326.49094,37.7,,Baumgruppe/flächiger Bestand,,,,2023,,9.467442,54.788329
 17698,,,17697,3530117.30167,6073326.91428,37.51,,Baumgruppe/flächiger Bestand,,,,2023,,9.467116,54.788334
 17699,,,17698,3530116.03167,6073283.31086,34.92,,Baumgruppe/flächiger Bestand,,,,2023,,9.467092,54.787942
 17700,,,17699,3530119.41834,6073231.02908,35.74,,Baumgruppe/flächiger Bestand,,,,2023,,9.467139,54.787472
 17670,,,17669,3527103.54529,6074951.63063,32.28,,Baumgruppe/flächiger Bestand,,,,2023,,9.420421,54.8031
 18155,,,18154,3524753.83711,6071934.78704,40.54,,Baumgruppe/flächiger Bestand,,,,2023,,9.383626,54.776121
 18156,,,18155,3527307.09768,6071433.09174,32.97,,Baumgruppe/flächiger Bestand,,,,2023,,9.423255,54.771482
 18169,,,18168,3527794.26174,6072343.80211,17.42,,Baumgruppe/flächiger Bestand,,,,2023,,9.430912,54.779636
 18170,,,18169,3527919.27761,6072378.85947,15.4,,Baumgruppe/flächiger Bestand,,,,2023,,9.432858,54.779944
 18171,,,18170,3527879.92076,6072351.4089,14.21,,Baumgruppe/flächiger Bestand,,,,2023,,9.432244,54.7797
 18175,,,18174,3526793.01534,6071992.20388,39.59,,Baumgruppe/flächiger Bestand,,,,2023,,9.415319,54.776533
 18177,,,18176,3526774.2828,6072010.46016,42.47,,Baumgruppe/flächiger Bestand,,,,2023,,9.41503,54.776698
 18183,,,18182,3528950.58099,6070353.36021,38.3,,Baumgruppe/flächiger Bestand,,,,2023,,9.448684,54.761691
 18184,,,18183,3528946.34765,6070318.69973,40.4,,Baumgruppe/flächiger Bestand,,,,2023,,9.448614,54.76138
 18186,,,18185,3528994.5126,6071444.66265,45.51,,Baumgruppe/flächiger Bestand,,,,2023,,9.449475,54.771492
 18187,,,18186,3528944.13583,6071454.611,42.86,,Baumgruppe/flächiger Bestand,,,,2023,,9.448693,54.771584
 18188,,,18187,3528858.6889,6071659.6236,41.79,,Baumgruppe/flächiger Bestand,,,,2023,,9.447386,54.77343
 18190,,,18189,3528829.52919,6071643.61473,40.71,,Baumgruppe/flächiger Bestand,,,,2023,,9.446931,54.773288
 18191,,,18190,3528789.57703,6071672.18978,37.77,,Baumgruppe/flächiger Bestand,,,,2023,,9.446313,54.773547
 18192,,,18191,3527083.16478,6071836.87408,35.83,,Baumgruppe/flächiger Bestand,,,,2023,,9.419813,54.775122
 18220,,,18219,3526873.64938,6071766.65786,32.51,,Baumgruppe/flächiger Bestand,,,,2023,,9.416551,54.774502
 18246,,,18245,3530528.04776,6075027.16069,33.65,,Baumgruppe/flächiger Bestand,,,,2023,,9.47368,54.803582
 18257,,,18256,3530186.5473,6075528.484050001,27.15,,Baumgruppe/flächiger Bestand,,,,2023,,9.468422,54.808106
 18258,,,18257,3530219.88487,6075562.61536,39.46,,Baumgruppe/flächiger Bestand,,,,2023,,9.468944,54.80841
 18259,,,18258,3530248.45993,6075537.74448,39.52,,Baumgruppe/flächiger Bestand,,,,2023,,9.469386,54.808185
 18260,,,18259,3530252.69327,6075480.32978,33.83,,Baumgruppe/flächiger Bestand,,,,2023,,9.469446,54.807669
 18268,,,18267,3527319.41061,6072087.70102,34.8,,Ulmus species,,,,2023,,9.423508,54.777362
 18269,,,18268,3526843.55262,6074634.299709999,30.73,,Baumgruppe/flächiger Bestand,,,,2023,,9.416349,54.800264
 18273,,,18272,3526661.97666,6074622.666629999,40.93,,Baumgruppe/flächiger Bestand,,,,2023,,9.413525,54.800169
 18278,,,18277,3526714.68177,6074633.884990001,41.32,,Baumgruppe/flächiger Bestand,,,,2023,,9.414345,54.800267
 18280,,,18279,3530499.13482,6077031.76909,1.99,,Baumgruppe/flächiger Bestand,,,,2023,,9.473442,54.821591
 18281,,,18280,3528707.89517,6072856.39265,31.21,,Baumgruppe/flächiger Bestand,,,,2023,,9.445161,54.78419
 18282,,,18281,3531449.63736,6076648.23311,33.21,,Baumgruppe/flächiger Bestand,,,,2023,,9.488187,54.818087
 18285,,,18284,3531624.89771,6076727.18494,22.99,,Baumgruppe/flächiger Bestand,,,,2023,,9.490922,54.818785
 18302,,,18301,3525940.27929,6071884.38828,40.1,,Baumgruppe/flächiger Bestand,,,,2023,,9.402058,54.775609
 18325,,,18324,3530081.49704,6074937.21932,44.15,,Baumgruppe/flächiger Bestand,,,,2023,,9.466727,54.802801
 18326,,,18325,3530080.70329,6074888.32423,44.77,,Baumgruppe/flächiger Bestand,,,,2023,,9.466709,54.802362
 18288,,,18287,3532454.45088,6077343.41733,11.85,,Baumgruppe/flächiger Bestand,,,,2023,,9.503895,54.824267
 18354,,,18353,3530146.83723,6074871.5906,43.6,,Baumgruppe/flächiger Bestand,,,,2023,,9.467736,54.802207
 18632,,,18631,3526656.57172,6076491.697589999,40.1,,Baumgruppe/flächiger Bestand,,,,2023,,9.413613,54.816958
2173,,,2172,3528176.587,6071881.54,21.69,,Tilia x euchlora,,,,2023,,9.436809,54.775463
3651,,,3650,3527673.321,6070660.61,36.44,,Sorbus intermedia,,,,2023,,9.428872,54.764523
3589,,,3588,3527589.92,6072536.7,38.4,,Robinia pseudoacacia,,,,2023,,9.427755,54.781381
4140,,,4139,3528740.643,6073124.632,37.19,,Sorbus x thuringiaca,,,,2023,,9.445697,54.786597
4304,,,4303,3530717.071,6072445.979,42.23,,Sorbus x thuringiaca,,,,2023,,9.476346,54.780384
4519,,,4518,3527072.842,6072755.506,52.46,,Prunus serrulata 'Kanzan',,,,2023,,9.419739,54.783374
5615,,,5614,3526091.95104,6069485.223269999,40.59,,Sorbus aucuparia,,,,2023,,9.404199,54.754049
5718,,,5717,3531253.077,6075154.099,49.91,,Tilia x vulgaris,,,,2023,,9.484968,54.804677
8015,,,8014,3525454.734,6072429.709,40.93,,Salix alba,,,,2023,,9.394561,54.780532
8170,,,8169,3528248.43,6072910.25,2.7,,Sorbus x thuringiaca,,,,2023,,9.438025,54.784699
9523,,,9522,3529725.0507,6075119.698189999,37.79,,Fraxinus excelsior,,,,2023,,9.461203,54.804461
 10535,,,10534,3530189.05431,6072015.08577,41.36,,Aesculus hippocastanum,,,,2023,,9.468095,54.776545
 10590,,,10589,3531014.665,6073345.545,43.41,,Quercus robur 'Fastigiata',,,,2023,,9.481067,54.788446
 11824,,,11823,3528276.70912,6071893.014349999,19.3,,Fraxinus excelsior,,,,2023,,9.438366,54.77556
 13834,,,13833,3528432.26747,6073722.385569999,9.48,,Baumgruppe/flächiger Bestand,,,,2023,,9.440962,54.791984
 14110,,,14109,3527002.00764,6074711.70523,25.28,,Fraxinus excelsior,,,,2023,,9.41882,54.80095
 14474,,,14473,3530265.45579,6071868.00639,42.64,,Aesculus hippocastanum,,,,2023,,9.469267,54.775219
 15257,,,15256,3528601.54262,6070372.98519,36.08,,Baumgruppe/flächiger Bestand,,,,2023,,9.443264,54.761887
 17393,,,17392,3524955.72158,6070380.58354,40.35,,Baumgruppe/flächiger Bestand,,,,2023,,9.386629,54.76215
 17677,,,17676,3526438.8742,6074799.26706,55.75,,Baumgruppe/flächiger Bestand,,,,2023,,9.410072,54.801767
 18173,,,18172,3527835.27223,6072342.80992,13.57,,Baumgruppe/flächiger Bestand,,,,2023,,9.431549,54.779625
 18189,,,18188,3528849.09773,6071611.33705,40.78,,Baumgruppe/flächiger Bestand,,,,2023,,9.447232,54.772997
